mcc,familia,descripcion,referencia
4582,Transporte Aéreo,"AEROPUERTOS, TERMINALES AEREAS","Comerciantes que funcionan y mantienen aeropuertos y campos del vuelo. Tales comerciantes pueden proporcionar la limpieza y los servicios porteriles, mantenimiento de aviones y reparaciones, almacenaje del avion en los aeropuertos, y alquiler del hangar del aeropuerto. Para los comerciantes situados dentro de un terminal del aeropuerto que venden el alimento, los periodicos, o los articulos del regalo o del recuerdo, utilice el MCC apropiado para ese negocio, tal como MCC 5812 (comiendo lugares y restaurantes), MCC 5994 (los distribuidores y los kioscos de periodicos de las noticias), o MCC 5947 (regalo, tarjeta, novedad, y las tiendas del recuerdo). Transporte"
4722,Agencias de Viajes,"AGENCIAS DE VIAJES, OPERADORAS DE VIAJES","Agencias de viajes que proporcionan sobre todo servicios de la informacion y de la reservacion del recorrido. venta de boletos a nombre de viajeros en la reservacion y marcan el espacio del avion, de la tierra, o de comodidades del transporte del mar o de alojamiento, incluyendo los vuelos planos, viajes del autobus, mar, los alquileres de coches, transporte del carril, y alojamiento. Tambien incluye a operadores de viaje que arreglan y montan los viajes para la venta a traves de un agente del recorrido o directamente el consumidor. Un viajero puede tambien reservar tales paquetes y excursiones del viaje a traves de una oficina o del boleto del hotel. Los ejemplos incluyen a las cartas del autobus y a operadores del autobus del viaje. Transporte"
4784,Peaje,"CUOTA - PUENTES, (CUOTAS Y TARIFAS - PUENTES Y CARRETERAS)","Empresas que recogen las cuotas de las casetas asociados a los caminos, a las carreteras, y a los puentes del peaje. Transporte"
4789,Transporte Aéreo,SERVICIOS DE TRANSPORTE -NO CLASIFICADO,"Companias que proporcionan transporte del pasajero no incluidos en otro giro. Tales servicios incluyen el transporte via los taxis y los carros traidos por caballo, los bicicleta-taxis, los tranvias aereos, los servicios del transporte de la lanzadera del aeropuerto, o los coches del cable. No incluye a servicio de transbordador, al transporte del autobus, a lineas de la travesia, a ferrocarriles del pasajero, y a comerciantes del servicio del taxi y del limousine. Transporte"
4812,Ventas al detalle (Retail),EQUIPOS DE TELECOMUNICACION INCLUYENDO VENTA DE TELEFONOS,"Los comerciantes que venden el equipo de las telecomunicaciones tal como telefonos, las maquinas de fax, los paginadores, los telefonos portatiles, y el otro equipo se relacionaron con las telecomunicaciones. Para las ventas del airtime de la telecomunicacion, utilice MCC 4814. Utilidades"
4814,Telecomunicaciones,"SERVICIOS DE TELECOMUNICACION INCLUYENDO, LLAMADAS TELEFONICAS LOCALES Y LARGA DISTANCIA, LLAMADAS CON TARJETAS DE CREDITO, TELEFONO CON LECTOR DE BAN",Los abastecedores de los servicios de telecomunicacion incluyendo llamadas telefonicas locales e interurbanas colocaron con los telefonos magneticos de la raya-lectura. Utilidades
4816,Otros,"RECEPTORES DE PAGOS ELECTRONICOS (VENTAS A TRAVES DE INTERNET), (SERVICIOS - RED DE COMPUTADORAS), (SERVICIOS DE INFORMACION POR COMPUTADORA)","Abastecedores de la red de ordenadores, de los servicios informativos, y de otros servicios en linea tales como tablon de anuncios electronico, E-mail, o acceso del Internet. Para los comerciantes que ofrecen productos o servicios via el Internet, utilice el MCC que describe lo mas mejor posible el producto o el servicio que es ofrecido. Para los comerciantes que proporcionan el audiotext (por ejemplo, ""telefonos directos psiquicos"") o servicios del videotext (por ejemplo, sitios de Internet de la charla del adulto), uso MCC 5967. Para los abastecedores de la computadora que programan y los servicios de proceso de datos, utilice MCC 7372. Utilidades"
4821,Telecomunicaciones,SERVICIOS – TELEGRAFO,Abastecedores del telegrafo y de otros servicios nonverbal de las comunicaciones del mensaje tales como cablegrams. Utilidades
4829,Otros,GIROS BANCARIOS/POSTALES,"Una transaccion en la cual se entregan o se ponen los fondos a disposicion un person(s) con excepcion del titular de tarjeta de la Mastercard que inicia la transferencia del dinero en una localizacion con excepcion de la localizacion en la cual se inicia la transferencia del dinero. Estas transacciones incluyen transacciones de la no-cara-a-cara por ejemplo, son facilitados a traves del Internet. Cualquier honorario cargado e incluido en la cantidad total de la transaccion se debe divulgar claramente al titular de tarjeta antes de terminar la transaccion, de acuerdo con la seccion 9,12,2,1 de la Mastercard Bylaws y reglas. Los miembros deben incluir la identidad y la localizacion del agente de transferencia del dinero que acepta la tarjeta y efectua la transaccion en el expediente de descriptor del aceptador de la tarjeta como el sitio donde la transaccion fue efectuada. Abastecedores De Servicio"
4899,Entretenimiento,PAGO DE SERVICIO POR TELEVISION CABLE/POR EVENTO,La conexion y la entrega en curso de la television y/o de la radio que programan en una suscripcion o una base del honorario. Utilidades
4900,Gobierno,"SERVICIOS GUBERNAMENTALES, AGUA, ELECTRICIDAD, SANITARIOS, PREDIAL, TENENCIA, IMPUESTOS Y DERECHOS","La generacion, la transmision, o la distribucion en curso de electrico o proveen de gas energia, servicios de la fuente del sistema del agua, o la coleccion y la disposicion de la basura. Para los comerciantes que proporcionan servicio de telecomunicacion, utilice MCC 4814. Utilidades"
5013,Ventas al detalle (Retail),"VEHICULOS DE MOTOR, ACCESORIOS Y AUTO PARTES","Distribuidores al por mayor de los accesorios del vehiculo de motor, de las herramientas, del equipo, y de nuevas piezas. Para el trabajo automotor de la reparacion, utilice MCC 7531 o 7538 como apropiados. Venda al por mayor a las distribuidores y a fabricantes"
5021,Ventas al detalle (Retail),MUEBLES PARA - OFICINA Y RECEPTORES DE PAGOS,"Fabricantes o distribuidores al por mayor de los muebles de oficinas (por ejemplo, escritorios, sillas, gabinetes, particiones, dejando de lado) y de los muebles comerciales (por ejemplo, tablas y sillas del restaurante, parque publico y muebles, pews de la iglesia, escritorios de la escuela, asientos constructivos del teatro). Para los comerciantes que fabrican o venden el equipo o muebles del hospital tales como camas, uso MCC 5047. Distribuidores y fabricantes al por mayor"
5039,Ventas al detalle (Retail),MATERIALES PARA LA CONSTRUCCION - NO CLASIFICADOS,"Distribuidores al por mayor de los materiales de construccion tales como edificios prefabricados, madera de construccion y cristal, metalwork arquitectonico, toldos, cercando, edificios del metal, y tanques septicos. Tales comerciantes pueden o pueden tambien no vender fuentes de la pintura y de la pintura. Para los comerciantes que venden sobre todo fuentes de la pintura y de la pintura, uso MCC 5198. Para los vendedores y las distribuidores del equipo usados en proyectos de construccion, utilice MCC 5046. Venda al por mayor a las distribuidores y a fabricantes"
5044,Ventas al detalle (Retail),"EQUIPOS DE - OFICINA, FOTOGRAFICO, FOTOCOPIADO Y MICROFILM","Distribuidores al por mayor de la oficina y del equipo fotografico tales como pelicula, cajas registradoras, maquinas de la fotocopia, maquinas del microfilm, camaras acorazadas y cajas fuertes, maquinas de escribir, maquinas de fax, maquinas sumadoras, y maquinas el enviar. Para los comerciantes de los muebles de oficinas, utilice MCC 5021. Para los comerciantes del material informatico, utilice MCC 5045. Venda al por mayor a las distribuidores y a fabricantes"
5045,Ventas al detalle (Retail),"COMPUTADORAS - EQUIPO PERIFERICO DE COMPUTADORAS, SOFTWARE","Distribuidores al por mayor del hardware, del software, y del equipo relacionado que pueden o pueden no conducir el trabajo de la reparacion. Los productos para la venta pueden incluir monitores de la computadora, accionamientos de disco, los cables, los teclados, las impresoras, los exploradores, los modems, los programas de computadora, y los accesorios y el equipo relacionados. Tales comerciantes pueden tambien vender los escritorios u otros muebles de oficinas disenados especificamente para el uso con las computadoras. Para los comerciantes que venden sobre todo muebles de la computadora, uso MCC 5021. Para los comerciantes que conducen sobre todo el trabajo de la reparacion, uso MCC 7379. Distribuidores y fabricantes al por mayor"
5046,Ventas al detalle (Retail),EQUIPO COMERCIAL - NO CLASIFICADO,"Distribuidores al por mayor de maquinas comerciales y del equipo no clasificados a otra parte. Los ejemplos incluyen servicio de alimento y las maquinas equipo para cocinar, las muestras de neon, los balances y las escalas, los armarios, los hornos comerciales y las microondas, los accesorios de la fuente de la soda, los accesorios del almacen, los mannequins, y de venta. Tales comerciantes pueden o pueden tambien no alquilarse o equipo de la renta. Para los comerciantes solamente alquiler o de la renta, utiliza MCC 7394. Distribuidores y fabricantes al por mayor"
5047,Ventas al detalle (Retail),"EQUIPO Y SUMINISTROS - HOSPITALES,(EQUIPO Y SUMINISTROS - LABORATORIO),(EQUIPO Y SUMINISTROS - OFTALMOLOGICOS),(EQUIPO Y SUMINISTROS - MEDICOS),(EQUIP","Distribuidores al por mayor del equipo de supervision, y otro del laboratorio, quirurgico, ortopedico, paciente del hospital, y de las sillas de la rueda, de los instrumentos medicos, de los dispositivos de la seguridad en el trabajo, de las camas del hospital, y de otras fuentes del hospital. Tambien incluye los abastecedores del laboratorio dental, ortopedicos, y las fuentes profesionales, equipo de diagnostico, las protesis de oido, los kits de primeros auxilios, equipo de la terapia, y las maquinas y las piezas de la radiografia. Para los comerciantes de los muebles tales como sillas, las tablas, y los estantes del compartimiento para los pasillos del hospital o las areas medicas o dentales de la recepcion, utilizan MCC 5021. Para los comerciantes de las fuentes de la limpieza del hospital, utilice MCC 2842. Venda al por mayor a las distribuidores y a fabricantes"
5051,Otros,CENTROS DE SERVICIO PARA EQUIPOS DE OFICINA,"Distribuidores al por mayor de los productos semielaborados del metal, excepto los metales preciosos. Los productos para la venta pueden incluir la tuberia y la tuberia del metal, lazos de la investigacion del alambre y de la bala, clavos, lingotes, las barras de aluminio, los carriles, el metal o las hojas, el metal de la tira, las barras del hierro, y la cuerda o el cable galvanizada de alambre. Tales comerciantes pueden funcionar con los almacenes (centros de servicio del metal) o sin los almacenes (oficinas de ventas de los metales). Para las distribuidores al por mayor de metales preciosos, utilice MCC 5094. Venda al por mayor a las distribuidores y a fabricantes"
5065,Ventas al detalle (Retail),PARTES Y EQUIPO ELECTRICO,"Distribuidores al por mayor de piezas y del equipo de comunicaciones electricos. Los productos para la venta pueden incluir bobinas electronicas, condensadores, condensadores electronicos, diodos, los dispositivos de semiconductor, el equipo de la direccion publica, y muestras electricas. Para los minoristas que venden el equipo electronico, uso MCC 5732. Para los minoristas que venden el equipo de las telecomunicaciones tal como telefonos y paginadores, uso MCC 4812. Distribuidores y fabricantes al por mayor"
5072,Refacciones y ferretería,DISTRIBUIDORES DE ARTICULOS DE FERRETERIA Y HERRAMIENTA MANUAL O ELECTRICA. NO DEPARTAMENTALES.,"Distribuidores al por mayor del hardware y de las laminas generales. Los productos para la venta pueden incluir los pernos, las tuercas, los remaches, los tornillos, los sujetadores, las herramientas de la mano, las cerraduras, las arandelas, las tachuelas, las grapas, los clavos, las sierras de la mano, las laminas de sierra, y las herramientas de la mano de la energia. Para los minoristas que venden el hardware, uso MCC 5251. Distribuidores y fabricantes al por mayor"
5074,Refacciones y ferretería,DISTRIBUIDORES DE ARTICULOS DE PLOMERIA Y CALEFACCION.,"Distribuidores al por mayor de la plomeria y equipo y fuentes hidraulicos de calefaccion. Los productos para la venta pueden incluir las valvulas, los accesorios, las guarniciones, las estufas de conveccion, las calderas, las mercancias de cobre amarillo, los hornos, las chimeneas prefabricadas, los radiadores y las piezas, los paneles y equipo de la calefaccion solar, y los calentadores de agua. Para las distribuidores del comerciante del equipo y las fuentes comerciales de refrigeracion, o las aplicaciones tales como gamas electricas o del gas y hornos comerciales, utilice MCC 5046. Venda al por mayor a distribuidores y los fabricantes"
5085,Ventas al detalle (Retail),ACCESORIOS INDUSTRIALES - NO CLASIFICADOS,"Distribuidores al por mayor de las fuentes industriales no a otra parte clasificadas. Los productos para la venta pueden incluir los abrasivos, los cojinetes, las cajas, las latas, los cajones, el corcho, juntas, ojales, las valvulas hidraulicas, las mangueras, los pistones, los pinones, los barriles, las botellas (cristal o plastico), las guarniciones industriales, cordaje, la guita y la cuerda, encierros de los metales, la tinta de las impresoras, el equipo lapidario, cenir del cuero, fuentes del molino, los cubos, las mercancias de goma, las fuentes de las impresoras del textil, y los tambores de acero. Distribuidores y fabricantes al por mayor"
5094,Ventas al detalle (Retail),"METALES Y PIEDRAS PRECIOSAS, RELOJERIA Y JOYERIA","Distribuidores al por mayor de la joyeria, de los relojes, de las piedras preciosas, y de los metales. Los productos para la venta pueden incluir joyeria del traje, los relojes y las piezas del reloj, los relojes, los cubiertos, las perlas, los diamantes y otras piedras de la gema, oro, platino y otros metales preciosos, y los trophies. Tales comerciantes pueden o pueden no conducir el trabajo de la reparacion. Para los comerciantes que conducen sobre todo el trabajo de la reparacion, uso MCC 7699. Para los minoristas de los articulos enumero aqui, utilizan MCC 5944. Distribuidores y fabricantes al por mayor"
5099,Ventas al detalle (Retail),BIENES DURADEROS - NO CLASIFICADOS,"Distribuidores al por mayor de las mercancias durables no a otra parte clasificadas. Los productos para la venta pueden incluir extintores, los armas de fuego, los accesorios de la iluminacion del gas, los monumentos y los marcadores del sepulcro, los cassettes previos de antemano, el haz de lena, productos asperos de la madera, las virutas de madera, las muestras no electricas, los instrumentos musicales, y equipaje. Para las distribuidores al por mayor de muestras electricas, utilice MCC 5065. Venda al por mayor a las distribuidores y a fabricantes"
5111,Ventas al detalle (Retail),"ARTICULOS DE ESCRITORIO, OFICINA Y PAPELERIA","Distribuidores al por mayor de los efectos de escritorio, de las fuentes de oficina, y del papel de la impresion y de escritura. Los productos para la venta pueden incluir formularios comerciales, las fuentes de la fotocopia, las tarjetas y las carpetas del archivo, las plumas, los lapices, los sobres, las cintas de la maquina de escribir y de la impresora, las carpetas del looseleaf, las ventas y los libros de recibo, y los albumes de foto y los libros de recuerdos. Para las distribuidores del comerciante de las maquinas de oficina tales como maquinas de escribir y fotocopiadoras, y para los comerciantes que proporcionan servicios de la fotocopia, uso MCC 5044. Para las distribuidores al por mayor de los muebles de oficinas, utilice MCC 5021. Venda al por mayor a las distribuidores y a fabricantes"
5122,Otros,"MEDICINAS, MEDICINAS DE PATENTE, FARMACOS DIVERSOS","Distribuidores al por mayor de la prescripcion y de drogas propietarias, de vitaminas, de articulos de tocador, de antiseptico, de vendajes, de productos farmaceuticos, de productos biologicos o relacionados, y de otros articulos pequenos miscelaneos tipicamente para la venta en almacenes de la droga. Para las distribuidores al por mayor de quirurgico, el hospital, o las fuentes dentales, utiliza MCC 5047. Distribuidores y fabricantes al por mayor"
5131,Ventas al detalle (Retail),MERCERIAS,"Distribuidores al por mayor de luniformes en general, Los productos para la venta pueden incluir estopilla, el material del drapery, el pano de las telas de la fibra de vidrio, de las cremalleras, natural o sintetico vendido por la yarda, los kits de la correa y del montaje de la hebilla, el atascamiento del textil, los botones, telas de punto, cordones, la cinta, los accesorios de la costura, el hilo, y los ajustes. , utilice MCC 5719. distribuidores y a fabricantes"
5137,Ventas al detalle (Retail),UNIFORMES - HOMBRES / MUJERES / NIÑOS,"Distribuidores al por mayor de la ropa trabajar-relacionada y de todos los tipos de uniformes para los hombres, las mujeres, y los ninos, incluyendo los zapatos, las ropas interiores y las capas, los casquillos y los vestidos de la graduacion, los uniformes para el atletismo y las actividades recreacionales tales como ballet clasico, karate, beisbol con pelota blanda y balompie, y uniformes privados o religiosos de la escuela. Para las distribuidores al por mayor del calzado comercial, uso 5139. Para los minoristas que venden ropa y los accesorios, utilice a comerciante al por menor mas apropiado MCC. Venda al por mayor a las distribuidores y a fabricantes"
5139,Ventas al detalle (Retail),CALZADO,"Distribuidores al por mayor de zapatos , incluyendo calzado atletico. Para los minoristas que venden calzado, uso MCC 5661. Distribuidores y fabricantes al por mayor"
5169,Ventas al detalle (Retail),PRODUCTOS QUIMICOS Y ALIACIONES - NO CLASIFICADOS,"Distribuidores al por mayor de los productos quimicos y de los productos aliados no a otra parte clasificados. Los productos para la venta se utilizan tipicamente para los propositos industriales. Los ejemplos incluyen los gases comprimidos y licuefechos industriales de los acidos, del amoniaco y del alcohol, pesados, aromaticos y otro de los productos quimicos, de la clorina, los detergentes, los anadidos del combustible y del aceite, las resinas, las sales, trementina, los sellantes, los productos quimicos del proofing del moho, los productos del alquitran del carbon, hielo seco, los colorantes, pegamento, gelatina, y los explosivos. Para los minoristas que venden fuegos artificiales, uso MCC 5999. Para los vendedores de productos quimicos y de soluciones para los propositos de la limpieza y del saneamiento, utilice MCC 2842. Venda al por mayor a las distribuidores y a fabricantes"
5172,Otros,PETROLEO Y PRODUCTOS DERIVADOS,"Distribuidores al por mayor del petroleo y de los productos de petroleo, tales como gas del butano, del petroleo crudo, del fuel-oil, de la gasolina, del keroseno, de los aceites y de las grasas lubricantes, y de la nafta. Incluyen a los comerciantes que proporcionan el avion que aprovisiona de combustible servicios tambien. Para los minoristas que venden el fuel-oil, el aceite de calefaccion, la madera, el carbon, o el propano del gas, uso MCC 5983. Distribuidores y fabricantes al por mayor"
5192,Ventas al detalle (Retail),"LIBROS, PERIODICOS Y REVISTAS","Fabricantes y distribuidores al por mayor de libros, de periodicos, de compartimientos, de diarios, y de periodicos. Las agencias del periodico tambien se incluyen. Para las impresoras o los editores al por mayor de libros, los periodicos, y los compartimientos, utilizan MCC 2741. Para los minoristas que venden los libros, uso MCC 5942. Distribuidores y fabricantes al por mayor"
5193,Ventas al detalle (Retail),"ACCESORIOS PARA FLORERIAS, FLORES E INVERNADEROS","Distribuidores al por mayor de flores, accion del cuarto de ninos y fuentes de los florists, flores frescas y artificiales, y plantas potted. Para las tiendas al por menor de la flor y de la planta, utilice MCC 5992. Venda al por mayor a las distribuidores y a fabricantes"
5198,Ventas al detalle (Retail),DISTRIBUIDOR DE PINTURAS Y BARNICES,"Distribuidores al por mayor de pinturas, de barnices, del papel pintado, y de fuentes. La linea de productos de tales comerciantes puede incluir colores y los pigmentos, los esmaltes, las lacas, los cepillos de la pintura, las cacerolas de la pintura, papel de lija, los panos de recogida, goma laca, los rodillos, y los rociadores. Para los minoristas que venden estos articulos, uso MCC 5231. Distribuidores y fabricantes al por mayor"
5199,Ventas al detalle (Retail),PERECEDEROS - NO CLASIFICADOS,"Distribuidores al por mayor de las mercancias no durables no a otra parte clasificadas. La linea de productos de tales comerciantes puede incluir productos alimenticios, mercancias de arte suspensiones de las ropas, el caucho de la espuma, el hielo, el caucho crudo, esponjas, bolsos del textil, la arpillera, productos de la lona, cestas, los regalos y las novedades, la accion del cuero y del corte, y otras mercancias de cuero excepto calzado. Para los comerciantes que venden sobre todo el calzado de cuero, uso MCC 5139. Para los minoristas que venden arte y hacen fuentes a mano, uso MCC 5970; para los vendedores de regalos y de novedades, utilice MCC 5947. Venda al por mayor a las distribuidores y a fabricantes"
5200,Ventas al detalle (Retail),ALMACEN DE ELECTRODOMESTICOS,"Los comerciantes se abren en el publico en general que venden una amplia gama de los productos y las fuentes caseros, tales como papel pintado, pintura, madera de construccion, las fuentes del jardin, equipo y las fuentes electricos y de la iluminacion, y el hogar adornando articulos. Estos comerciantes pueden tambien vender los productos ""acabados"" tales como fregaderos, gabinetes, y puertas asi como kits del ""hagalo usted mismo"". Tiendas Al por menor"
5211,Ventas al detalle (Retail),"CIMBRAS / MADERERIAS, (MATERIALES PARA CONSTRUCCION)","Comerciantes que venden la madera de construccion y otros materiales de construccion, incluyendo los centros del edificio que ofrecen sus productos a los contratistas mas bien que al publico en general. Los productos para la venta pueden incluir la madera de construccion, articulos de madera inacabados, encendiendo los materiales, concreto, arena, grava, edificio general o las fuentes electricas, los ladrillos, el cercar, pipa, fibra de vidrio, y el moldear. Para el almacen grande o el descuento la fuente casera almacena las cadenas frecuentadas por el publico en general, uso MCC 5200. Para los contratistas, utilice los servicios contraidos mas apropiados. Tiendas Al por menor"
5231,Ventas al detalle (Retail),"PAPEL TAPIZ, (PINTURAS Y PAPEL TAPIZ), (VIDRIERIAS)","Minoristas que venden fuentes del cristal, de la pintura y de la pintura, el papel pintado y fuentes que cuelgan, y otros materiales de la cubierta de pared. Para las distribuidores al por mayor de las fuentes de la pintura, utilice MCC 5039. Tiendas Al por menor"
5251,Refacciones y ferretería,"ARTICULOS DE FERRETERIA, PLOMERIA Y/O HERRAMIENTAS.","Los comerciantes que venden una gama completa del hardware proveen para la compra del publico en general. Los productos para la venta pueden incluir fuentes electricas del boleto pequeno, cableado, las tuercas, los pernos, los clavos, los tornillos, los martillos, los destornilladores y otras herramientas, arandelas, llaves, bombillas, soportes, y fuentes pequenos de la plomeria. Para el almacen grande o el descuento la fuente casera almacena las cadenas, uso MCC 5200. Tiendas Al por menor"
5261,Ventas al detalle (Retail),"ACCESORIOS - JARDIN, (ACCESORIOS - JARDININERIA),","Comerciantes que venden la accion del cuarto de ninos, arboles, arbustos, las plantas potted, las semillas, los bulbos, los pajotes, los acondicionadores del suelo, los fertilizantes, los pesticidas, las herramientas del jardin, y otras fuentes del jardin. Tiendas Al por menor"
5271,Ventas al detalle (Retail),DISTRIBUIDORES – CAMPERS Y REMOLQUES,"Comerciantes que venden nuevos y usados hogares moviles, piezas relacionadas, los accesorios, y el equipo. Tiendas Al por menor"
5300,Supermercados,CLUBES DE MAYORISTAS,"Almacenes que venden una variedad amplia de mercancia en bulto, y se concentran en precios bajos. Tales comerciantes pueden o pueden no tener requisitos de la calidad de miembro. Los productos para la venta pueden incluir fuentes de la casa y las aplicaciones, las fuentes y el equipo de oficina, la tienda de comestibles y perishables secos, la casa y los muebles de oficinas, electronica, y fuentes del automovil. Tiendas Al por menor"
5309,Ventas al detalle (Retail),TIENDAS LIBRES DE IMPUESTO,"Tiendas que venden una variedad de articulos del regalo y de la importacion que son tipicamente exentos de honorarios de encargo, tales como joyeria, de cosmeticos, de cigarrillos, y de licor. Generalmente, estos comerciantes estan situados dentro de los terminales y de los hoteles del aeropuerto. Tiendas Al por menor"
5310,Supermercados,TIENDAS DE DESCUENTO,"Comerciantes que venden una linea general de la mercancia con descuento. Los productos para la venta pueden incluir ropa, housewares, los mobiliarios caseros, los productos personales del cuidado, y electronica. Tales comerciantes funcionan tipicamente una tienda del jardin, tienen una localizacion primaria de la comprobacion en el frente del almacen, y promueven y anuncian precios bajos sobre una base en curso. Tiendas Al por menor"
5311,Supermercados,TIENDAS DEPARTAMENTALES,"Comercios mas grandes que venden una linea general de la mercancia de los departamentos que tienen generalmente contadores de comprobacion separados. Los productos para la venta pueden incluir ropa, los mobiliarios caseros, los muebles, electronica, los cosmeticos, los housewares, y los aparatos electrodomesticos importantes. Tiendas Al por menor"
5331,Supermercados,TIENDAS DE PARTICIPACION ESTATAL,"Comerciantes que ofrecen una seleccion variada pero limitada de la mercancia en la gama de precio bajo o popular. Tales almacenes no estan generalmente departamentalizados, no ofrecen tarjetas de marca propia o de credito, Los almacenes de variedad ofrecen la mercancia similar a esa vendida por los almacenes de descuento, pero funcionan en una escala mucho mas pequena. Tiendas Al por menor"
5399,Agregadores,AGREGADORES – VENTAS EN GENERAL,"Pequenos comercios que venden una linea general de la mercancia de los departamentos que tienen generalmente contadores de comprobacion separados. Los productos para la venta pueden incluir ropa, mercancias secas, el hardware, housewares, los mobiliarios caseros, electronica, muebles, y los cosmeticos. Tales comerciantes ofrecen cuentas de marca propia o de credito, entregan la mercancia, Los almacenes de mercancia general ofrecen la mercancia similar a esa vendida por los almacenes grandes, pero funcionan a una escala mucho mas pequena. Tiendas Al por menor"
5411,Supermercados,"AUTOSERVICIOS Y SUPERMERCADOS, ABARROTES EN GENERAL, ULTRAMARINOS","Comerciantes que venden una linea completa de la mercancia del alimento para la consumicion casera. Los productos alimenticios para la venta incluyen la tienda de comestibles, la carne, el producto, los productos lacteos, y conservado, congelado, preembalados, y los alimentos secos. Otros productos para la venta pueden incluir una seleccion limitada de housewares, de la limpieza y de productos que pulen, de productos personales de la higiene, de cosmeticos, de tarjetas de saludo, de libros, de compartimientos, de articulos de la casa, y de mercancias secas. Estos comerciantes pueden tambien funcionar departamentos especializados tales como en-almacenan el contador del deli, el contador de la carne, la farmacia, o el departamento floral. Para los almacenes de conveniencia que venden una seleccion limitada los productos o los articulos de la especialidad, del uso MCC 5499. Tiendas Al por menor"
5422,Misceláneos,"ABARROTES, MISCELANEAS, TIENDAS NATURISTAS, CARNICERIAS, PESCADERIAS, VERDULERIAS, TORTILLERIAS. NO TIENDAS DE CONVENIENCIA.","Los comerciantes que venden fresco, congelado, o las carnes curadas, y el pescado, los crustaceos, y otros mariscos, e incluyen a vendedores al por menor a granel de la carne para el almacenaje del congelador. Los mercados de carne incluidos en este MCC pueden matar sus propios animales, o compre la carne de otras. Para las tiendas de las aves de corral, utilice MCC 5499. Tiendas Al por menor"
5441,Ventas al detalle (Retail),"DULCERIAS, (PASTELERIAS Y CONFITERIAS), (SEMILLAS Y SIMILARES)","Los comerciantes que venden el caramelo, chocolate, tuercas, secaron las frutas, las palomitas, y otros dulces. Tiendas Al por menor"
5451,Ventas al detalle (Retail),"LECHERIAS, CREMERIAS, LACTEOS","Comerciantes que venden mercancias empaquetadas de productos lacteos. Los productos para la venta pueden incluir la mantequilla, el queso, el helado empaquetado, y la leche. Tiendas Al por menor"
5462,Ventas al detalle (Retail),PANADERIAS,"Los comerciantes que venden los articulos de panaderia, y preparan a menudo las mercancias en las mismas panaderias. Los productos para la venta pueden incluir los panecillos, el pan, las galletas, los bunuelos, los pasteles, las empanadas, y las tortas de la boda. Tiendas Al por menor"
5499,Ventas al detalle (Retail),"TIENDAS DE CONVENIENCIA, MINISUPER","Unidades comerciales a detalle dedicadas a la venta de productos para consumo humano inmediato, venden principalmente alimentos y bebidas, el surtido y diversidad de la mercancía es limitada. Pueden estar abiertas las 24 horas"
5511,Ventas al detalle (Retail),"DISTRIBUIDORES DE AUTOMOVILES (NUEVOS Y USADOS) - VENTA, ARRENDAMIENTO, SERVICIO, REPARACIONES, PARTES, (DISTRIBUIDORES DE CAMIONES (NUEVOS Y USADOS)","Companias que venden los automoviles, los carros, usados, y las furgonetas nuevos y usados. Estas companias pueden tambien hacer el trabajo de reparacion y cambio de refacciones y accesorios. Si el negocio primario del comerciante es reparacion, utilice MCC 7538. Automoviles y vehiculos"
5521,Ventas al detalle (Retail),"DISTRIBUIDORES DE AUTOMOVILES (SOLO USADOS), (DISTRIBUIDORES CAMIONES (SOLO USADOS))","Los comercios que venden automoviles y los carros solamente usados, sin ventas de vehiculos nuevos. Los vehiculos para la venta pueden incluir , las furgonetas, y los automoviles usados de la antig_x0081_edad o de la vendimia. Automoviles y vehiculos"
5532,Ventas al detalle (Retail),"LLANTAS - AUTOMOTORES, DISTRIBUIDOR DE LLANTAS - AUTOMOTORES","Comerciantes que venden los neumaticos automotores y del carro y las piezas relacionadas. Los almacenes automotores del neumatico tambien realizan servicios de la instalacion y de reparacion del neumatico. Para los comerciantes que se especializan en el neumatico que retrocede y reparacion, uso MCC 7534. Automoviles y vehiculos"
5533,Refacciones y ferretería,AUTOPARTES Y ACCESORIOS AUTOMOTRICES. NO AGENCIAS AUTOMOTRICES.,"Comerciantes que venden piezas, el equipo, y los accesorios del automovil. Los productos para la venta pueden incluir el aceite y los filtros de aceite, piezas, silenciadores, productos de limpieza, enchufes de chispa, encerando productos, desodorantes, los limpiadores del parabrisas, y la pintura. Estos comerciantes pueden o pueden tambien no vender una linea limitada de las estereofonias y de los altavoces del coche. Para los comerciantes que venden sobre todo estereofonias y altavoces del coche, uso MCC 5732. Automoviles y vehiculos"
5541,Gasolineras,"ESTACIONES DE SERVICIO, GASOLINERIAS, ESTACIONES DE SERVICIO PARA TODO TIPO DE TRANSPORTE (CON O SIN SERVICIOS AUXILIARES)","Comerciantes que venden el combustible para el uso del consumidor y pueden o pueden tambien no tener un almacen de conveniencia, lavado de coche, o un taller de reparaciones automotor, Para las estaciones de gasolina que venden el combustible por los dispensadores automatizados del combustible, utilice MCC 5542. Automoviles y vehiculos"
5542,Gasolineras,DISPENSADOR AUTOMATICO DE GASOLINA,"Comerciantes que venden gasolina automotora usando dispensadores automatizados tipicamente desatendidos del combustible, permitiendo a titulares de tarjeta comprar el combustible terminando la transaccion en la bomba. Automoviles y vehiculos"
